t,warehouse_num,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shippings_to_warehouses_0,shippings_to_warehouses_1,reward
0,2,0.0,4.0,3.0,10,5.0,5.0,-175.0
1,2,0.0,8.0,7.0,10,5.0,5.0,-309.0
2,2,0.0,6.0,5.0,0,0.0,0.0,326.0
3,2,0.0,5.0,3.0,0,0.0,0.0,246.0
4,2,5.0,4.0,6.0,10,0.0,5.0,-188.0
5,2,0.0,8.0,5.0,0,5.0,0.0,113.0
6,2,0.0,7.0,4.0,0,0.0,0.0,138.0
7,2,5.0,6.0,8.0,10,0.0,5.0,-302.0
8,2,5.0,4.0,6.0,0,0.0,0.0,318.0
9,2,0.0,7.0,4.0,0,5.0,0.0,313.0
10,2,5.0,5.0,7.0,10,0.0,5.0,-102.0
11,2,5.0,4.0,5.0,0,0.0,0.0,228.0
12,2,0.0,7.0,4.0,0,5.0,0.0,219.0
13,2,5.0,5.0,7.0,10,0.0,5.0,-102.0
14,2,5.0,4.0,5.0,0,0.0,0.0,228.0
15,2,0.0,7.0,3.0,0,5.0,0.0,319.0
16,2,5.0,6.0,6.0,10,0.0,5.0,-196.0
17,2,5.0,5.0,4.0,0,0.0,0.0,230.0
18,2,0.0,3.0,7.0,0,0.0,5.0,296.0
19,2,5.0,6.0,5.0,10,5.0,0.0,-79.0
20,2,5.0,4.0,3.0,0,0.0,0.0,336.0
21,2,5.0,7.0,7.0,10,5.0,5.0,-219.0
22,2,5.0,6.0,6.0,0,0.0,0.0,120.0
23,2,5.0,4.0,5.0,0,0.0,0.0,230.0
24,2,0.0,7.0,4.0,0,5.0,0.0,219.0
25,2,5.0,6.0,8.0,10,0.0,5.0,-302.0
26,2,5.0,5.0,6.0,0,0.0,0.0,218.0
27,2,5.0,3.0,4.0,0,0.0,0.0,334.0
28,2,5.0,7.0,7.0,10,5.0,5.0,-221.0
29,2,5.0,6.0,5.0,0,0.0,0.0,220.0
30,2,5.0,4.0,4.0,0,0.0,0.0,236.0
31,2,5.0,8.0,7.0,10,5.0,5.0,-225.0
32,2,5.0,6.0,5.0,0,0.0,0.0,316.0
33,2,5.0,4.0,2.0,0,0.0,0.0,436.0
34,2,5.0,8.0,6.0,10,5.0,5.0,-313.0
35,2,5.0,7.0,4.0,0,0.0,0.0,222.0
36,2,0.0,6.0,7.0,0,0.0,5.0,188.0
37,2,0.0,5.0,4.0,0,0.0,0.0,334.0
38,2,5.0,1.0,7.0,10,0.0,5.0,106.0
39,2,0.0,4.0,5.0,0,5.0,0.0,319.0
40,2,5.0,7.0,3.0,10,5.0,0.0,-71.0
41,2,0.0,6.0,6.0,0,0.0,5.0,194.0
42,2,0.0,5.0,5.0,0,0.0,0.0,140.0
43,2,0.0,4.0,3.0,0,0.0,0.0,250.0
44,2,0.0,4.0,6.0,10,5.0,5.0,191.0
45,2,5.0,8.0,4.0,10,5.0,0.0,-177.0
46,2,0.0,7.0,8.0,0,0.0,5.0,84.0
47,2,0.0,5.0,6.0,0,0.0,0.0,324.0
48,2,0.0,3.0,4.0,0,0.0,0.0,344.0
49,2,0.0,7.0,7.0,10,5.0,5.0,-211.0
