episode,t,factory_stock,warehouse_stock_0,warehouse_stock_1,production_level,shipping_to_warehouse_0,shipping_to_warehouse_1,timestep_reward,total_reward
0,0,0.0,1.0,3.0,10,5.0,5.0,125.0,125.0
0,1,0.0,3.0,6.0,10,5.0,5.0,3.0,128.0
0,2,5.0,7.0,3.0,10,5.0,0.0,-73.0,55.0
0,3,0.0,4.0,7.0,0,0.0,5.0,294.0,349.0
0,4,5.0,7.0,4.0,10,5.0,0.0,17.0,366.0
0,5,0.0,5.0,7.0,0,0.0,5.0,288.0,654.0
0,6,0.0,4.0,5.0,0,0.0,0.0,238.0,892.0
0,7,5.0,8.0,3.0,10,5.0,0.0,-171.0,721.0
0,8,0.0,6.0,6.0,0,0.0,5.0,290.0,1011.0
0,9,0.0,5.0,4.0,0,0.0,0.0,240.0,1251.0
0,10,5.0,4.0,7.0,10,0.0,5.0,-194.0,1057.0
0,11,0.0,6.0,5.0,0,5.0,0.0,407.0,1464.0
0,12,0.0,5.0,3.0,0,0.0,0.0,246.0,1710.0
0,13,5.0,3.0,6.0,10,0.0,5.0,-88.0,1622.0
0,14,0.0,6.0,3.0,0,5.0,0.0,417.0,2039.0
0,15,5.0,4.0,7.0,10,0.0,5.0,-192.0,1847.0
0,16,0.0,8.0,6.0,0,5.0,0.0,107.0,1954.0
0,17,0.0,6.0,5.0,0,0.0,0.0,232.0,2186.0
0,18,0.0,4.0,2.0,0,0.0,0.0,446.0,2632.0
0,19,0.0,8.0,5.0,10,5.0,5.0,-203.0,2429.0
0,20,0.0,7.0,3.0,0,0.0,0.0,238.0,2667.0
0,21,5.0,6.0,6.0,10,0.0,5.0,-196.0,2471.0
0,22,5.0,5.0,4.0,0,0.0,0.0,230.0,2701.0
0,23,0.0,4.0,7.0,0,0.0,5.0,196.0,2897.0
0,24,5.0,8.0,6.0,10,5.0,0.0,-283.0,2614.0
0,25,5.0,6.0,4.0,0,0.0,0.0,322.0,2936.0
0,26,0.0,4.0,7.0,0,0.0,5.0,292.0,3228.0
0,27,5.0,8.0,5.0,10,5.0,0.0,-183.0,3045.0
0,28,5.0,6.0,4.0,0,0.0,0.0,228.0,3273.0
0,29,0.0,5.0,7.0,0,0.0,5.0,192.0,3465.0
0,30,0.0,4.0,6.0,0,0.0,0.0,138.0,3603.0
