Date,demand_1359,demand_1295
2012-01-05,702000.0,78700.0
2012-01-06,676000.0,102100.0
2012-01-10,783000.0,134000.0
2012-01-11,200000.0,37600.0
2012-01-12,284000.0,32100.0
2012-01-13,532000.0,23500.0
2012-01-16,479000.0,121400.0
2012-01-17,435000.0,156000.0
2012-01-18,29000.0,98700.0
2012-01-19,477000.0,77700.0
2012-01-20,290000.0,47200.0
2012-01-23,157000.0,131700.0
2012-01-24,331000.0,40100.0
2012-01-25,1023000.0,50000.0
2012-01-26,545000.0,121000.0
2012-01-27,114000.0,15000.0
2012-01-30,454000.0,55000.0
2012-01-31,1399000.0,39000.0
2012-02-01,450000.0,43300.0
2012-02-02,445000.0,51000.0
2012-02-03,390000.0,16600.0
2012-02-06,406000.0,52500.0
2012-02-07,601000.0,109100.0
2012-02-08,403000.0,211600.0
2012-02-09,1063000.0,3000.0
2012-02-10,197000.0,111600.0
2012-02-13,317000.0,34700.0
2012-02-14,301000.0,45100.0
2012-02-15,179000.0,86200.0
2012-02-16,401000.0,88500.0
2012-02-17,298000.0,62000.0
2012-02-20,314000.0,87000.0
2012-02-21,714000.0,105300.0
2012-02-22,123000.0,62900.0
2012-02-23,329000.0,65000.0
2012-02-24,108000.0,44300.0
2012-02-27,420000.0,52900.0
2012-02-28,163000.0,47600.0
2012-02-29,449000.0,483000.0
2012-03-01,720000.0,42000.0
2012-03-02,465000.0,58000.0
2012-03-05,761000.0,93000.0
2012-03-06,487000.0,47200.0
2012-03-07,188000.0,42500.0
2012-03-08,549000.0,64000.0
2012-03-09,175000.0,140700.0
2012-03-12,395000.0,87700.0
2012-03-13,238000.0,147100.0
2012-03-14,150000.0,172000.0
2012-03-15,293000.0,101400.0
2012-03-16,524000.0,43700.0
2012-03-19,258000.0,25500.0
2012-03-21,328000.0,83200.0
2012-03-22,250000.0,157100.0
2012-03-23,315000.0,79300.0
2012-03-26,368000.0,176500.0
2012-03-27,520000.0,74300.0
2012-03-28,158000.0,42300.0
2012-03-29,176000.0,108000.0
2012-03-30,382000.0,82800.0
2012-04-02,410000.0,122000.0
2012-04-03,184000.0,146600.0
2012-04-04,500000.0,24000.0
2012-04-05,333000.0,12000.0
2012-04-06,457000.0,206800.0
2012-04-08,320000.0,2000.0
2012-04-09,234000.0,134300.0
2012-04-10,406000.0,106000.0
2012-04-11,351000.0,55000.0
2012-04-12,331000.0,20500.0
2012-04-13,249000.0,57700.0
2012-04-16,259000.0,73000.0
2012-04-17,595000.0,129500.0
2012-04-18,220000.0,36000.0
2012-04-19,244000.0,213200.0
2012-04-20,564000.0,33600.0
2012-04-23,162000.0,110000.0
2012-04-24,914000.0,95100.0
2012-04-25,639000.0,35000.0
2012-04-26,450000.0,151300.0
2012-04-27,802000.0,53800.0
2012-05-01,409000.0,141300.0
2012-05-02,919000.0,52300.0
2012-05-07,428000.0,78500.0
2012-05-08,275000.0,186300.0
2012-05-09,239000.0,42000.0
2012-05-10,519000.0,6800.0
2012-05-11,290000.0,55300.0
2012-05-14,518000.0,16000.0
2012-05-15,508000.0,29500.0
2012-05-16,287000.0,57500.0
2012-05-17,294000.0,111000.0
2012-05-18,326000.0,21000.0
2012-05-21,420000.0,98300.0
2012-05-22,398000.0,8000.0
2012-05-23,121000.0,86400.0
2012-05-24,500000.0,36500.0
2012-05-25,297000.0,55600.0
2012-05-28,472000.0,57100.0
2012-05-29,797000.0,49300.0
2012-05-30,189000.0,60000.0
2012-05-31,249000.0,82000.0
2012-06-01,272000.0,93500.0
2012-06-04,265000.0,100700.0
2012-06-05,650000.0,38500.0
2012-06-06,193000.0,107500.0
2012-06-07,252000.0,72000.0
2012-06-08,624000.0,91000.0
2012-06-11,423000.0,54000.0
2012-06-12,520000.0,42000.0
2012-06-13,170000.0,163000.0
2012-06-14,673000.0,6600.0
2012-06-15,212000.0,22000.0
2012-06-18,197000.0,206500.0
2012-06-19,151000.0,173500.0
2012-06-20,196000.0,22000.0
2012-06-21,288000.0,120500.0
2012-06-22,266000.0,25000.0
2012-06-25,220000.0,43000.0
2012-06-26,327000.0,79100.0
2012-06-27,122000.0,66000.0
2012-06-28,262000.0,100000.0
2012-06-29,248000.0,19700.0
2012-07-02,629000.0,82100.0
2012-07-03,291000.0,110500.0
2012-07-04,445000.0,53000.0
2012-07-05,305000.0,126400.0
2012-07-06,306000.0,2000.0
2012-07-09,182000.0,63000.0
2012-07-10,452000.0,33600.0
2012-07-11,521000.0,117000.0
2012-07-12,394000.0,40600.0
2012-07-13,217000.0,45300.0
2012-07-17,244000.0,82000.0
2012-07-18,785000.0,85000.0
2012-07-19,226000.0,64500.0
2012-07-20,294000.0,14400.0
2012-07-23,507000.0,90300.0
2012-07-24,285000.0,19000.0
2012-07-25,88000.0,36000.0
2012-07-26,158000.0,126000.0
2012-07-27,286000.0,12000.0
2012-07-30,194000.0,63000.0
2012-07-31,613000.0,102300.0
2012-08-01,425000.0,38300.0
2012-08-02,231000.0,13000.0
2012-08-03,173000.0,188800.0
2012-08-06,274000.0,145000.0
2012-08-07,499000.0,78800.0
2012-08-08,161000.0,54300.0
2012-08-09,217000.0,71000.0
2012-08-10,51000.0,94500.0
2012-08-15,50000.0,44000.0
2012-08-16,188000.0,46500.0
2012-08-17,57000.0,47300.0
2012-08-20,306000.0,48000.0
2012-08-21,188000.0,126000.0
2012-08-22,678000.0,45000.0
2012-08-23,56000.0,4200.0
2012-08-24,752000.0,44000.0
2012-08-27,805000.0,59000.0
2012-08-28,229000.0,50500.0
2012-08-29,754000.0,45400.0
2012-08-30,325000.0,113500.0
2012-08-31,247000.0,39500.0
2012-09-02,6000.0,100.0
2012-09-03,442000.0,114000.0
2012-09-04,461000.0,48900.0
2012-09-05,281000.0,30400.0
2012-09-06,358000.0,140000.0
2012-09-07,1212000.0,111300.0
2012-09-10,163000.0,83500.0
2012-09-11,267000.0,55800.0
2012-09-12,444000.0,84000.0
2012-09-13,609000.0,80000.0
2012-09-14,265000.0,53000.0
2012-09-18,252000.0,61700.0
2012-09-19,361000.0,54700.0
2012-09-20,389000.0,90400.0
2012-09-21,436000.0,58600.0
2012-09-24,156000.0,94000.0
2012-09-25,370000.0,113000.0
2012-09-26,361000.0,39500.0
2012-09-27,336000.0,18000.0
2012-09-28,420000.0,88600.0
2012-10-01,273000.0,162100.0
2012-10-02,250000.0,156900.0
2012-10-03,259000.0,26000.0
2012-10-04,295000.0,30500.0
2012-10-05,585000.0,146300.0
2012-10-09,443000.0,74200.0
2012-10-10,228000.0,72600.0
2012-10-11,253000.0,107000.0
2012-10-12,869000.0,54000.0
2012-10-15,284000.0,174800.0
2012-10-16,262000.0,133000.0
2012-10-17,522000.0,74300.0
2012-10-18,58000.0,55000.0
2012-10-19,462000.0,76800.0
2012-10-22,343000.0,100100.0
2012-10-23,296000.0,46000.0
2012-10-24,192000.0,48100.0
2012-10-25,67000.0,61200.0
2012-10-26,714000.0,36300.0
2012-10-29,200000.0,7300.0
2012-10-30,374000.0,118700.0
2012-10-31,447000.0,139100.0
2012-11-01,534000.0,96000.0
2012-11-02,330000.0,46500.0
2012-11-05,163000.0,97300.0
2012-11-06,430000.0,137100.0
2012-11-07,889000.0,60500.0
2012-11-08,237000.0,30200.0
2012-11-09,345000.0,76200.0
2012-11-12,528000.0,96000.0
2012-11-13,226000.0,124700.0
2012-11-14,474000.0,71300.0
2012-11-15,286000.0,73000.0
2012-11-16,335000.0,70400.0
2012-11-19,311000.0,61000.0
2012-11-20,517000.0,87700.0
2012-11-21,198000.0,65700.0
2012-11-22,310000.0,43500.0
2012-11-26,162000.0,121100.0
2012-11-27,200000.0,55100.0
2012-11-28,1210000.0,181200.0
2012-11-29,61000.0,20700.0
2012-11-30,97000.0,176600.0
2012-12-03,729000.0,103700.0
2012-12-04,831000.0,82500.0
2012-12-05,445000.0,58200.0
2012-12-06,142000.0,85500.0
2012-12-07,319000.0,218200.0
2012-12-10,292000.0,26700.0
2012-12-11,1082000.0,136200.0
2012-12-12,601000.0,136500.0
2012-12-13,443000.0,84500.0
2012-12-14,303000.0,83000.0
2012-12-17,229000.0,135500.0
2012-12-18,110000.0,70800.0
2012-12-19,552000.0,85000.0
2012-12-20,509000.0,82200.0
2012-12-21,326000.0,75000.0
2012-12-25,537000.0,143700.0
2012-12-26,656000.0,120000.0
2012-12-27,196000.0,26100.0
2013-01-07,454000.0,91000.0
2013-01-08,862000.0,113500.0
2013-01-09,156000.0,161500.0
2013-01-10,330000.0,95800.0
2013-01-11,133000.0,36000.0
2013-01-15,1660000.0,11700.0
2013-01-16,1008000.0,156500.0
2013-01-17,194000.0,143000.0
2013-01-18,707000.0,93500.0
2013-01-21,438000.0,113600.0
2013-01-22,694000.0,112500.0
2013-01-23,291000.0,85000.0
2013-01-24,575000.0,20300.0
2013-01-25,126000.0,92500.0
2013-01-28,263000.0,53500.0
2013-01-29,903000.0,83200.0
2013-01-30,155000.0,64700.0
2013-01-31,506000.0,101500.0
2013-02-01,1876000.0,267100.0
2013-02-04,549000.0,127000.0
2013-02-05,135000.0,166700.0
2013-02-06,327000.0,100700.0
2013-02-07,117000.0,109300.0
2013-02-08,846000.0,79100.0
2013-02-12,270000.0,75800.0
2013-02-13,692000.0,112000.0
2013-02-14,154000.0,85400.0
2013-02-15,222000.0,147400.0
2013-02-18,190000.0,83200.0
2013-02-19,651000.0,83100.0
2013-02-20,158000.0,66100.0
2013-02-21,193000.0,71800.0
2013-02-22,287000.0,70700.0
2013-02-25,161000.0,86600.0
2013-02-26,810000.0,85000.0
2013-02-27,406000.0,77000.0
2013-02-28,172000.0,110200.0
2013-03-01,405000.0,145200.0
2013-03-04,337000.0,161000.0
2013-03-05,657000.0,125500.0
2013-03-06,165000.0,37000.0
2013-03-07,723000.0,184100.0
2013-03-08,764000.0,84800.0
2013-03-11,577000.0,188100.0
