Date,Total_Demand
2012-01-05,78700.0
2012-01-06,102100.0
2012-01-10,134000.0
2012-01-11,37600.0
2012-01-12,32100.0
2012-01-13,23500.0
2012-01-16,121400.0
2012-01-17,156000.0
2012-01-18,98700.0
2012-01-19,77700.0
2012-01-20,47200.0
2012-01-23,131700.0
2012-01-24,40100.0
2012-01-25,50000.0
2012-01-26,121000.0
2012-01-27,15000.0
2012-01-30,55000.0
2012-01-31,39000.0
2012-02-01,43300.0
2012-02-02,51000.0
2012-02-03,16600.0
2012-02-06,52500.0
2012-02-07,109100.0
2012-02-08,211600.0
2012-02-09,3000.0
2012-02-10,111600.0
2012-02-13,34700.0
2012-02-14,45100.0
2012-02-15,86200.0
2012-02-16,88500.0
2012-02-17,62000.0
2012-02-20,87000.0
2012-02-21,105300.0
2012-02-22,62900.0
2012-02-23,65000.0
2012-02-24,44300.0
2012-02-27,52900.0
2012-02-28,47600.0
2012-02-29,483000.0
2012-03-01,42000.0
2012-03-02,58000.0
2012-03-05,93000.0
2012-03-06,47200.0
2012-03-07,42500.0
2012-03-08,64000.0
2012-03-09,140700.0
2012-03-12,87700.0
2012-03-13,147100.0
2012-03-14,172000.0
2012-03-15,101400.0
2012-03-16,43700.0
2012-03-19,25500.0
2012-03-21,83200.0
2012-03-22,157100.0
2012-03-23,79300.0
2012-03-26,176500.0
2012-03-27,74300.0
2012-03-28,42300.0
2012-03-29,108000.0
2012-03-30,82800.0
2012-04-02,122000.0
2012-04-03,146600.0
2012-04-04,24000.0
2012-04-05,12000.0
2012-04-06,206800.0
2012-04-08,2000.0
2012-04-09,134300.0
2012-04-10,106000.0
2012-04-11,55000.0
2012-04-12,20500.0
2012-04-13,57700.0
2012-04-16,73000.0
2012-04-17,129500.0
2012-04-18,36000.0
2012-04-19,213200.0
2012-04-20,33600.0
2012-04-23,110000.0
2012-04-24,95100.0
2012-04-25,35000.0
2012-04-26,151300.0
2012-04-27,53800.0
2012-05-01,141300.0
2012-05-02,52300.0
2012-05-07,78500.0
2012-05-08,186300.0
2012-05-09,42000.0
2012-05-10,6800.0
2012-05-11,55300.0
2012-05-14,16000.0
2012-05-15,29500.0
2012-05-16,57500.0
2012-05-17,111000.0
2012-05-18,21000.0
2012-05-21,98300.0
2012-05-22,8000.0
2012-05-23,86400.0
2012-05-24,36500.0
2012-05-25,55600.0
2012-05-28,57100.0
2012-05-29,49300.0
2012-05-30,60000.0
2012-05-31,82000.0
2012-06-01,93500.0
2012-06-04,100700.0
2012-06-05,38500.0
2012-06-06,107500.0
2012-06-07,72000.0
2012-06-08,91000.0
2012-06-11,54000.0
2012-06-12,42000.0
2012-06-13,163000.0
2012-06-14,6600.0
2012-06-15,22000.0
2012-06-18,206500.0
2012-06-19,173500.0
2012-06-20,22000.0
2012-06-21,120500.0
2012-06-22,25000.0
2012-06-25,43000.0
2012-06-26,79100.0
2012-06-27,66000.0
2012-06-28,100000.0
2012-06-29,19700.0
2012-07-02,82100.0
2012-07-03,110500.0
2012-07-04,53000.0
2012-07-05,126400.0
2012-07-06,2000.0
2012-07-09,63000.0
2012-07-10,33600.0
2012-07-11,117000.0
2012-07-12,40600.0
2012-07-13,45300.0
2012-07-17,82000.0
2012-07-18,85000.0
2012-07-19,64500.0
2012-07-20,14400.0
2012-07-23,90300.0
2012-07-24,19000.0
2012-07-25,36000.0
2012-07-26,126000.0
2012-07-27,12000.0
2012-07-30,63000.0
2012-07-31,102300.0
2012-08-01,38300.0
2012-08-02,13000.0
2012-08-03,188800.0
2012-08-06,145000.0
2012-08-07,78800.0
2012-08-08,54300.0
2012-08-09,71000.0
2012-08-10,94500.0
2012-08-15,44000.0
2012-08-16,46500.0
2012-08-17,47300.0
2012-08-20,48000.0
2012-08-21,126000.0
2012-08-22,45000.0
2012-08-23,4200.0
2012-08-24,44000.0
2012-08-27,59000.0
2012-08-28,50500.0
2012-08-29,45400.0
2012-08-30,113500.0
2012-08-31,39500.0
2012-09-02,100.0
2012-09-03,114000.0
2012-09-04,48900.0
2012-09-05,30400.0
2012-09-06,140000.0
2012-09-07,111300.0
2012-09-10,83500.0
2012-09-11,55800.0
2012-09-12,84000.0
2012-09-13,80000.0
2012-09-14,53000.0
2012-09-18,61700.0
2012-09-19,54700.0
2012-09-20,90400.0
2012-09-21,58600.0
2012-09-24,94000.0
2012-09-25,113000.0
2012-09-26,39500.0
2012-09-27,18000.0
2012-09-28,88600.0
2012-10-01,162100.0
2012-10-02,156900.0
2012-10-03,26000.0
2012-10-04,30500.0
2012-10-05,146300.0
2012-10-09,74200.0
2012-10-10,72600.0
2012-10-11,107000.0
2012-10-12,54000.0
2012-10-15,174800.0
2012-10-16,133000.0
2012-10-17,74300.0
2012-10-18,55000.0
2012-10-19,76800.0
2012-10-22,100100.0
2012-10-23,46000.0
2012-10-24,48100.0
2012-10-25,61200.0
2012-10-26,36300.0
2012-10-29,7300.0
2012-10-30,118700.0
2012-10-31,139100.0
2012-11-01,96000.0
2012-11-02,46500.0
2012-11-05,97300.0
2012-11-06,137100.0
2012-11-07,60500.0
2012-11-08,30200.0
2012-11-09,76200.0
2012-11-12,96000.0
2012-11-13,124700.0
2012-11-14,71300.0
2012-11-15,73000.0
2012-11-16,70400.0
2012-11-19,61000.0
2012-11-20,87700.0
2012-11-21,65700.0
2012-11-22,43500.0
2012-11-26,121100.0
2012-11-27,55100.0
2012-11-28,181200.0
2012-11-29,20700.0
2012-11-30,176600.0
2012-12-03,103700.0
2012-12-04,82500.0
2012-12-05,58200.0
2012-12-06,85500.0
2012-12-07,218200.0
2012-12-10,26700.0
2012-12-11,136200.0
2012-12-12,136500.0
2012-12-13,84500.0
2012-12-14,83000.0
2012-12-17,135500.0
2012-12-18,70800.0
2012-12-19,85000.0
2012-12-20,82200.0
2012-12-21,75000.0
2012-12-25,143700.0
2012-12-26,120000.0
2012-12-27,26100.0
2012-12-28,4000.0
2013-01-07,91000.0
2013-01-08,113500.0
2013-01-09,161500.0
2013-01-10,95800.0
2013-01-11,36000.0
2013-01-15,11700.0
2013-01-16,156500.0
2013-01-17,143000.0
2013-01-18,93500.0
2013-01-21,113600.0
2013-01-22,112500.0
2013-01-23,85000.0
2013-01-24,20300.0
2013-01-25,92500.0
2013-01-28,53500.0
2013-01-29,83200.0
2013-01-30,64700.0
2013-01-31,101500.0
2013-02-01,267100.0
2013-02-03,40000.0
2013-02-04,127000.0
2013-02-05,166700.0
2013-02-06,100700.0
2013-02-07,109300.0
2013-02-08,79100.0
2013-02-12,75800.0
2013-02-13,112000.0
2013-02-14,85400.0
